	GENDER	DEPART	EDUC	AGE	HEIGHT	SENIOR	SALARY	INI_PROF	CUR_PROF
Alexander 	Female	Ship	College	22	63	4	23400	82	90
Arcones   	Male	Package	College	49	65	17	40400	89	123
Barber    	Male	Bake	College	36	67	8	29400	77	93
Barrera   	Male	Package	HS	37	67	3	24800	102	108
Bester    	Male	Ship	Grad	43	66	11	31200	82	104
Bichteler 	Female	Bake	HS	20	69	1	21800	102	104
Biondi    	Male	Bake	College	28	67	0	19800	94	94
Box       	Female	Package	College	38	65	4	24600	105	113
Brewer    	Male	Bake	College	42	68	6	25900	88	100
Busico    	Male	Package	College	23	66	0	18800	99	98
Chan      	Male	Package	College	26	66	2	21300	93	97
Chang     	Male	Package	HS	35	70	0	20200	118	118
Clark     	Male	Ship	College	23	67	2	22000	101	105
Cook      	Male	Bake	College	36	68	5	24500	87	98
Cooper    	Female	Package	HS	24	64	3	27000	110	116
Cotto     	Female	Package	College	35	68	4	24600	113	121
Covenant  	Female	Bake	College	33	64	14	36600	90	118
Cox       	Male	Bake	College	27	70	0	19100	98	99
Cramer    	Male	Package	College	37	68	5	24200	96	106
Crow      	Male	Package	HS	31	66	13	38100	116	142
Davis     	Male	Ship	College	26	67	0	18900	89	89
Dios      	Male	Bake	College	28	67	1	19500	99	101
Dirac     	Male	Bake	College	35	69	4	24700	99	107
Dollard   	Female	Bake	College	38	61	2	20800	86	91
Donner    	Female	Bake	College	32	63	0	19100	93	92
Dunn      	Male	Package	College	39	65	12	33600	93	117
Einstein  	Female	Ship	HS	18	61	0	20600	95	95
Farraday  	Female	Ship	HS	24	64	5	26400	100	109
Finley    	Male	Ship	College	37	68	3	22300	92	97
Fisher    	Male	Bake	College	27	67	2	21100	93	96
Fleming   	Male	Package	HS	23	69	3	25000	121	127
Foster    	Male	Package	College	35	67	4	23600	97	105
Franklin  	Male	Package	HS	41	71	7	30500	114	130
Fry       	Female	Bake	College	28	63	2	20700	75	78
Garibaldi 	Male	Ship	College	30	69	5	24800	78	87
George    	Male	Ship	College	42	71	5	25000	94	104
Ghosh     	Female	Bake	HS	27	64	3	25000	109	117
Gibbs     	Female	Bake	HS	35	60	1	23700	110	111
Gonzales  	Male	Ship	College	25	68	5	25900	91	102
Hague     	Male	Bake	HS	39	63	4	26900	121	129
Hale      	Female	Bake	HS	27	61	7	32000	126	140
Hampton   	Male	Package	HS	27	68	1	21400	108	112
Hendricks 	Male	Bake	College	28	66	1	19600	81	83
Hindman   	Male	Package	HS	30	68	1	23300	120	122
Holt      	Female	Bake	College	39	66	2	21900	88	91
Hornfeck  	Female	Package	College	33	65	4	24700	87	94
Hsieh     	Male	Package	HS	38	72	4	25700	107	115
Hunt      	Male	Package	College	28	70	8	27900	82	98
Hyland    	Male	Bake	HS	28	68	5	30400	131	141
Ironheart 	Female	Bake	HS	28	67	2	24600	117	120
